county_fips,county_name,analysis_days,temp_imputed_days,pct_analysis_days_imputed,native_analysis_days,fully_imputed_county,observed_share,any_observed,imputation_lt_20pct,imputation_lt_10pct,not_fully_imputed,anchor_stations,all_counties,data_quality_label
48011,Armstrong,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48077,Clay,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48119,Delta,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48173,Glasscock,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48155,Foard,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48247,Jim Hogg,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48197,Hardeman,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48211,Hemphill,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48239,Jackson,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48185,Grimes,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48161,Freestone,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48133,Eastland,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48301,Loving,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48255,Karnes,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48393,Roberts,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48407,San Jacinto,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48473,Waller,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48455,Trinity,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48317,Martin,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48335,Mitchell,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48487,Wilbarger,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48507,Zavala,4018,4018,100.0,0,True,0.0,False,False,False,False,False,True,fully imputed (no observed temperature)
48009,Archer,4018,3592,89.4,426,False,0.10599999999999998,True,False,False,True,False,True,20% or more imputed
48145,Falls,4018,3565,88.7,453,False,0.11299999999999999,True,False,False,True,False,True,20% or more imputed
48373,Polk,4018,3454,86.0,564,False,0.14,True,False,False,True,False,True,20% or more imputed
48063,Camp,4018,3314,82.5,704,False,0.17500000000000004,True,False,False,True,False,True,20% or more imputed
48281,Lampasas,4018,3228,80.3,790,False,0.19700000000000006,True,False,False,True,False,True,20% or more imputed
48505,Zapata,4018,3133,78.0,885,False,0.21999999999999997,True,False,False,True,False,True,20% or more imputed
48065,Carson,4018,3107,77.3,911,False,0.22699999999999998,True,False,False,True,False,True,20% or more imputed
48129,Donley,4018,3086,76.8,932,False,0.23199999999999998,True,False,False,True,False,True,20% or more imputed
48431,Sterling,4018,2910,72.4,1108,False,0.2759999999999999,True,False,False,True,False,True,20% or more imputed
48323,Maverick,4018,2910,72.4,1108,False,0.2759999999999999,True,False,False,True,False,True,20% or more imputed
48087,Collingsworth,4018,2839,70.7,1179,False,0.2929999999999999,True,False,False,True,False,True,20% or more imputed
