state,county_fips,county_name,climate_division,climdiv_id,analysis_days,temp_imputed_days,temperature_imputation_pct,imputation_band,native_analysis_days,fully_imputed_county,data_complete,artifact_excluded_days_max_per_metric_window,flag_exclude_from_county_ranking,flag_reason
TX,48011,Armstrong,High Plains,4101,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48077,Clay,North Central,4103,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48119,Delta,North Central,4103,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48173,Glasscock,High Plains,4101,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48155,Foard,Low Rolling Plains,4102,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48247,Jim Hogg,South Texas,4109,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48197,Hardeman,Low Rolling Plains,4102,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48211,Hemphill,High Plains,4101,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48239,Jackson,Upper Coast,4108,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48185,Grimes,East Texas,4104,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48161,Freestone,East Texas,4104,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48133,Eastland,North Central,4103,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48301,Loving,Trans-Pecos,4105,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48255,Karnes,South Central,4107,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48393,Roberts,High Plains,4101,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48407,San Jacinto,East Texas,4104,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48473,Waller,East Texas,4104,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48455,Trinity,East Texas,4104,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48317,Martin,High Plains,4101,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48335,Mitchell,Low Rolling Plains,4102,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48487,Wilbarger,Low Rolling Plains,4102,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48507,Zavala,South Texas,4109,4018,4018,100.0,100% (fully imputed),0,True,False,0,True,temperature 100% IDW-imputed - no native station data
TX,48009,Archer,North Central,4103,4018,3592,89.4,>50-<100%,426,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48145,Falls,North Central,4103,4018,3565,88.7,>50-<100%,453,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48373,Polk,East Texas,4104,4018,3454,86.0,>50-<100%,564,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48063,Camp,East Texas,4104,4018,3314,82.5,>50-<100%,704,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48281,Lampasas,Edwards Plateau,4106,4018,3228,80.3,>50-<100%,790,False,False,1,True,temperature imputation above the prespecified 10% cut
TX,48505,Zapata,South Texas,4109,4018,3133,78.0,>50-<100%,885,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48065,Carson,High Plains,4101,4018,3107,77.3,>50-<100%,911,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48129,Donley,Low Rolling Plains,4102,4018,3086,76.8,>50-<100%,932,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48431,Sterling,Edwards Plateau,4106,4018,2910,72.4,>50-<100%,1108,False,False,2,True,temperature imputation above the prespecified 10% cut
TX,48323,Maverick,South Texas,4109,4018,2910,72.4,>50-<100%,1108,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48087,Collingsworth,Low Rolling Plains,4102,4018,2839,70.7,>50-<100%,1179,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48047,Brooks,South Texas,4109,4018,2819,70.2,>50-<100%,1199,False,False,1,True,temperature imputation above the prespecified 10% cut
TX,48293,Limestone,North Central,4103,4018,2783,69.3,>50-<100%,1235,False,False,1,True,temperature imputation above the prespecified 10% cut
TX,48435,Sutton,Edwards Plateau,4106,4018,2719,67.7,>50-<100%,1299,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48483,Wheeler,Low Rolling Plains,4102,4018,2707,67.4,>50-<100%,1311,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48115,Dawson,High Plains,4101,4018,2618,65.2,>50-<100%,1400,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48111,Dallam,High Plains,4101,4018,2506,62.4,>50-<100%,1512,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48493,Wilson,South Central,4107,4018,2481,61.7,>50-<100%,1537,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48193,Hamilton,North Central,4103,4018,2449,61.0,>50-<100%,1569,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48035,Bosque,North Central,4103,4018,2436,60.6,>50-<100%,1582,False,False,1,True,temperature imputation above the prespecified 10% cut
TX,48421,Sherman,High Plains,4101,4018,2368,58.9,>50-<100%,1650,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48151,Fisher,Low Rolling Plains,4102,4018,2353,58.6,>50-<100%,1665,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48419,Shelby,East Texas,4104,4018,2200,54.8,>50-<100%,1818,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48163,Frio,South Texas,4109,4018,1962,48.8,>25-50%,2056,False,False,1,True,temperature imputation above the prespecified 10% cut
TX,48271,Kinney,Edwards Plateau,4106,4018,1747,43.5,>25-50%,2271,False,False,0,True,temperature imputation above the prespecified 10% cut
TX,48447,Throckmorton,North Central,4103,4018,1648,41.0,>25-50%,2370,False,False,0,True,temperature imputation above the prespecified 10% cut
