state,county_fips,climdiv_id,division_name,source
TX,48003,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48011,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48017,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48045,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48065,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48069,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48079,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48107,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48111,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48115,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48117,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48153,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48165,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48173,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48179,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48189,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48195,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48205,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48211,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48219,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
TX,48227,4101,High Plains,"NOAA/NCEI county-to-climdivs.txt (division numbers: primary source); division names from secondary sources, labels only"
